"Timestamp","Rank your preferences for All Cows Eat Grass! (1 = first choice) [All]","Rank your preferences for All Cows Eat Grass! (1 = first choice) [Cows]","Rank your preferences for All Cows Eat Grass! (1 = first choice) [Eat]","Rank your preferences for All Cows Eat Grass! (1 = first choice) [Grass .]"
"2020/04/23 3:48:44 PM EST","1","2","3","4"
"2020/04/23 3:48:50 PM EST","4","3","2","1"
"2020/04/23 3:49:21 PM EST","","2","1",""
"2020/04/23 3:49:28 PM EST","4","1","2",""
"2020/04/23 3:49:33 PM EST","","","",""
"2020/04/23 3:49:36 PM EST","","","",""
"2020/04/23 3:49:49 PM EST","3","1","2","4"
"2020/04/23 3:49:59 PM EST","4","3","2","1"
"2020/04/23 3:50:07 PM EST","1","3","2","4"
"2020/04/23 3:50:13 PM EST","3","4","2","1"
"2020/04/23 3:50:35 PM EST","4","3","1","2"
"2020/04/23 3:50:42 PM EST","3","1","2","4"
"2020/04/23 3:50:49 PM EST","4","3","2","1"
"2020/04/23 3:50:56 PM EST","3","2","4","1"
"2020/04/23 3:56:29 PM EST","1","","2",""
"2020/04/23 3:56:46 PM EST","2","","1",""
"2020/04/23 4:00:39 PM EST","1","2","",""
"2020/04/23 4:00:44 PM EST","1","","2",""
"2020/04/23 4:00:49 PM EST","1","","","2"
"2020/04/23 4:00:56 PM EST","1","2","3",""
"2020/04/23 4:01:02 PM EST","1","2","","3"
"2020/04/23 4:01:08 PM EST","1","3","2",""
"2020/04/23 4:01:14 PM EST","1","","2","3"
"2020/04/23 4:01:19 PM EST","1","3","","2"
"2020/04/23 4:01:25 PM EST","1","","3","2"
